C#,CNAME,PERIOD,CREDIT,TEACHER
0169,材料成形技术基础,32.0,2.0,"张航,蔡洪能,臧顺来"
0170,材料成形技术基础,32.0,2.0,"张兆路,方学伟,张琦"
0171,机械工程测试技术,48.0,2.5,张周锁
0172,机械工程测试技术,48.0,2.5,李博
0173,机械工程测试技术,48.0,2.5,"徐光华,李敏"
0174,机械工程测试技术,48.0,2.5,张庆
0175,机械工程测试技术,48.0,2.5,张小栋
0176,机械工程测试技术（英）,48.0,2.5,杨树明
0177,材料成形技术基础（英）,32.0,2.0,"王富,黄科"
0178,数控技术,56.0,3.0,"刘红忠,牛东"
0179,数控技术,56.0,3.0,陶涛
0180,数控技术,56.0,3.0,姜歌东
0181,数控技术,56.0,3.0,孙挪刚
0182,数控技术,56.0,3.0,"梅雪松,杨军"
0183,微纳制造工艺与装备,48.0,2.5,"邵金友,陈小明,王春慧,田洪淼,李祥明,陈小亮"
0184,机器人技术及应用,40.0,2.0,董霞
0185,智能制造技术基础,64.0,3.5,"康城玮,位文明"
0186,人工智能基础,64.0,4.0,"秦立果,张小栋"
0187,机械设计及其智能化,48.0,3.0,"王永泉,桂亮,李宝童,郭婷,权双璐,赵志斌"
0188,智能制造执行系统技术,72.0,3.0,江平宇
0189,智能制造执行系统技术,72.0,3.0,周光辉
0190,智能运维与健康管理,64.0,3.0,"訾艳阳,王宇,陈景龙"
0191,智能运维与健康管理,64.0,3.0,"訾艳阳,王宇,陈景龙"
0192,智能制造工艺与装备,56.0,3.0,赵万华
0193,智能制造工艺与装备,56.0,3.0,刘弘光
0194,智能制造工艺与装备,56.0,3.0,张俊
0195,智能成形技术,56.0,3.0,"张琦,杨强"
0196,智能成形技术,56.0,3.0,"苏文斌,方学伟,坚永鑫"
0197,装备与制造系统,40.0,2.0,徐海波
0198,现代机器人技术,40.0,2.0,董霞
0199,企业与生产运作管理,36.0,2.0,马登龙
0200,机械故障诊断技术,40.0,2.0,"訾艳阳,王琇峰,陈景龙"
0201,机械故障诊断技术,40.0,2.0,"王琇峰,陈景龙"
0202,机械动力学,32.0,2.0,王小鹏
0203,机械动力学,32.0,2.0,吴成军
0204,摩擦学,40.0,2.0,"董光能,秦立果"
0205,制造执行系统技术,40.0,2.0,杨茂林
0206,增材制造技术（英）,40.0,2.0,田小永
0207,现代设计理论与方法,32.0,2.0,朱永生
0208,现代设计理论与方法,32.0,2.0,刘志刚
0209,柔性电子制造与应用（英）,32.0,2.0,陈小明
0210,信息处理技术,32.0,2.0,"徐光华,李敏,闫文强"
0211,数字信号处理,32.0,2.0,"郑杨,闫文强"
0212,智能机器及其实施技术,32.0,2.0,"赵升吨,王永飞,范淑琴"
0213,新形态机器人设计与驱控,64.0,2.0,"郭艳婕,彭军,李博,朱子才"
0214,智能制造系统的人工智能应用及实践,64.0,2.0,"孙闯,陈雪峰,王保建,秦立果,尹昱东,李卓林"
0215,工程材料基础,32.0,2.0,孙巧艳
0216,工程材料基础,32.0,2.0,李博
0217,汽车电子与控制,40.0,2.0,张政
0218,车辆制造实验,48.0,1.5,"金涛,张大伟,臧顺来,郭文静,尹昱东,方学伟"
0219,车辆制造装备与系统,24.0,1.5,张大伟
0220,车辆工程导论,16.0,1.0,"张琦,赵升吨,徐俊"
0221,电动汽车与混合动力技术,40.0,2.0,曹军义
0222,汽车结构有限元与数值计算,24.0,1.0,臧顺来
0223,车辆设计,40.0,2.0,"林起崟,韩宾"
0224,现代轨道车辆,40.0,2.0,李靖祥
0225,车辆电机与驱动,40.0,2.0,"李靖祥,范淑琴"
0226,智能汽车技术,32.0,2.0,"陈景龙,刘意"
0227,车辆工程CDIO,56.0,2.0,徐俊
0228,3D打印.材料之光,32.0,2.0,"孙琨,鲍崇高"
0229,动漫世界的材料化学探秘,32.0,2.0,宁晓辉
0230,多学科交叉创新与自主创业实践,32.0,2.0,"田高良,张生,宋忠孝"
0231,艺术铸造及创作实践,32.0,2.0,"刘志伟,赵兴杨,崔琦,郑巧玲"
0232,工程材料基础,56.0,3.0,王继平
0233,工程材料基础,56.0,3.0,刘梅军
0234,工程材料基础,56.0,3.0,李博
0235,工程材料基础,56.0,3.0,张鹏
0236,工程材料基础,56.0,3.0,"刘森辉,牛敏"
0237,工程材料基础,56.0,3.0,"王亚强,程鹏明"
0238,材料性能,48.0,3.0,"单智伟,解德刚,周玉美"
0239,材料性能,48.0,3.0,"吴戈,刘博宇,李成新"
0240,材料性能,48.0,3.0,"王悦存,方华靖,吴戈"
0241,Characterization techniques in materials science research,32.0,2.0,陈凯
0242,Characterization techniques in materials science research,32.0,2.0,武海军
0243,Characterization techniques in materials science research,32.0,2.0,方华靖
0244,Characterization techniques in materials science research,32.0,2.0,薛嗣创
0245,Characterization techniques in materials science research,32.0,2.0,王疆靖
0246,Characterization techniques in materials science research,32.0,2.0,张祯
0247,材料工程基础,64.0,4.0,"王玉,杨贺杰,张林杰"
0248,材料工程基础,64.0,4.0,"李梅娥,张林杰,刘志伟"
0249,金相制备与分析实验,32.0,1.0,"王红洁,孙巧艳,孙俊杰,王耿洁"
0250,材料性能与测试技术实验,32.0,1.0,"牛靖,陈凯"
0251,高分子化学与物理实验,32.0,1.0,张启路
0252,材料科学基础-1,32.0,2.0,殷咸青
0253,材料科学基础-1,32.0,2.0,蔡洪能
0254,材料科学基础-1,32.0,2.0,黄平
0255,材料科学基础-1,32.0,2.0,刘宏
0256,材料科学基础-1,32.0,2.0,刘梅军
0257,材料科学基础-1,32.0,2.0,陈波
0258,材料科学基础-1,32.0,2.0,"杨冠军,刘梅军"
0259,材料工程基础,40.0,2.5,"刘志伟,李梅娥"
0260,材料研究方法,32.0,2.0,胡磊
0261,功能材料学,32.0,2.0,"潘毅,郭靖"
0262,材料科学基础,40.0,2.5,"张兰,王章洁"
0263,材料科学基础,40.0,2.5,"马胜强,雒晓涛"
0264,能源与人类文明发展,32.0,2.0,"杨冬,徐东海"
0265,能源与人类文明发展,32.0,2.0,"李艳辉,徐东海"
0266,再创式学习方法与技术创新训练,32.0,2.0,"薛绒,杨旭,吴伟烽"
0267,科学技术与工程伦理,32.0,2.0,"李早阳,孙中国"
0268,科学技术与工程伦理,32.0,2.0,"冯健美,姚尔人,陈雪江"
0269,科学技术与工程伦理,32.0,2.0,"党政,张家忠"
0270,核与世界,32.0,2.0,"王永平,曹良志,王立剑,刘宙宇"
0271,全球科技史纲,32.0,2.0,"白涛,赵日晶"
0272,Energy and Environment,32.0,2.0,褚雯霄
0273,人与环境,32.0,2.0,"徐浩,李珊珊,王嘉楠,冯江涛,延卫"
0274,热工基础Ⅰ,44.0,2.5,"何茂刚,辛楠"
0275,热工基础Ⅰ,44.0,2.5,"王晓坡,吴一宁"
0276,热工基础Ⅰ,44.0,2.5,"杨富鑫,王学亮"
0277,热工基础Ⅰ,44.0,2.5,"杨富鑫,任秦龙"
0278,热工基础Ⅰ,44.0,2.5,"刘向阳,程泽东"
0279,热工基础Ⅰ,44.0,2.5,"杨鹏,任秦龙"
0280,热工基础Ⅰ,44.0,2.5,杨卫卫
0281,热工基础Ⅰ,44.0,2.5,"冀文涛,杨剑"
0282,热工基础Ⅰ,44.0,2.5,"杨鹏,王学亮"
0283,大学计算机 -工程算法编程,56.0,3.0,"陈斌,周致富"
0284,大学计算机 -工程算法编程,56.0,3.0,"周屈兰,李娜"
0285,大学计算机 -工程算法编程,56.0,3.0,"何志龙,王闯"
0286,大学计算机 -工程算法编程,56.0,3.0,"何志龙,赵红利"
0287,大学计算机 -工程算法编程,56.0,3.0,刘小民
0288,大学计算机 -工程算法编程,56.0,3.0,黄柱
0289,大学计算机 -工程算法编程,56.0,3.0,"李娜,王登辉"
0290,工程热力学（英）,64.0,3.5,"辛楠,杜燊,杨富鑫"
0291,自动控制原理Ⅰ,52.0,2.5,"赵攀,王桂芳"
0292,自动控制原理Ⅰ,52.0,2.5,"戴义平,朱光宇,王桂芳"
0293,自动控制原理Ⅰ,52.0,2.5,"王江峰,李浦,王桂芳"
0294,自动控制原理Ⅰ,52.0,2.5,"邱斌斌,王桂芳"
0295,自动控制原理Ⅰ,52.0,2.5,"王珍珍,王朝阳,王桂芳"
0296,自动控制原理Ⅰ,52.0,2.5,"郭朋华,王桂芳"
0297,自动控制原理Ⅰ,52.0,2.5,"王桂芳,李瑞雄"
0298,自动控制原理Ⅰ,52.0,2.5,"周延,张丹,王桂芳"
0299,流体力学Ⅰ,64.0,3.5,龚建英
0300,流体力学Ⅰ,64.0,3.5,李国君
0301,流体力学Ⅰ,64.0,3.5,张荻
0302,流体力学Ⅰ,64.0,3.5,李平
0303,流体力学Ⅰ,64.0,3.5,孟现阳
0304,流体力学Ⅰ,64.0,3.5,付雷
0305,工程热力学Ⅰ,64.0,3.5,"何雅玲,何茂刚"
0306,工程热力学Ⅰ,64.0,3.5,"何茂刚,何雅玲"
0307,工程热力学Ⅰ,64.0,3.5,吴江涛
0308,工程热力学Ⅰ,64.0,3.5,"刘迎文,张颖,陈慧"
0309,工程热力学Ⅰ,64.0,3.5,毕胜山
0310,工程热力学Ⅰ,64.0,3.5,陶于兵
0311,工程热力学Ⅰ,64.0,3.5,王晓坡
0312,工程热力学Ⅰ,64.0,3.5,杨卫卫
0313,工程热力学Ⅰ,64.0,3.5,"刘迎文,张颖"
0314,热能与动力测试技术,52.0,2.5,"邓清华,王珍珍,徐彤彤,王桂芳,刘齐寿"
0315,热能与动力测试技术,52.0,2.5,"李会雄,周延,雷贤良,王桂芳,徐彤彤,刘齐寿"
0316,热能与动力测试技术,52.0,2.5,"厉彦忠,谢福寿,谭宏博,王桂芳,徐彤彤,刘齐寿"
0317,热能与动力测试技术,52.0,2.5,"文键,李翠,王桂芳,徐彤彤,郭蓓,刘齐寿"
0318,热能与动力测试技术,52.0,2.5,"宫武旗,高忠权,王桂芳,徐彤彤,刘齐寿"
0319,流体力学（英）,64.0,3.5,孙金菊
0320,热流体课程实验-1,32.0,1.0,"唐上朝,张可,王小丹,孟婧,程上方,邢张梦,梁雪琪"
0321,现代电力生产技术,56.0,3.0,"刘继平,赵全斌,邱斌斌,韩小渠,王桂芳,赵永亮,徐彤彤"
0322,储能原理与应用,48.0,3.0,"刘朝晖,杨冬,李明涛"
0323,先进制冷低温技术,56.0,3.0,"赖天伟,刘秀芳,张兴群,刘晔,侯予,陈良"
0324,先进制冷低温技术,56.0,3.0,"侯予,陈良,赖天伟,刘秀芳,张兴群,刘晔"
0325,流体热物性测试技术,56.0,3.0,"吴江涛,毕胜山,孟现阳,张可"
0326,换热器设计,48.0,3.0,"曾敏,程志龙"
0327,透平机械流体动力学,48.0,3.0,何坤
0328,制冷与低温技术原理,52.0,3.0,"鱼剑琳,白涛,李翠,张兴群,刘晔,厉彦忠,陈旗"
0329,制冷与低温技术原理,52.0,3.0,"赵日晶,黄东,文键,谢福寿,刘晔,张兴群,李科"
0330,制冷与低温技术原理,52.0,3.0,"晏刚,白涛,蒲亮,马原,刘晔,张兴群,刘国强"
0331,制冷与低温技术原理,52.0,3.0,"陈蕴光,谭宏博,谢福寿,刘晔,张兴群"
0332,制冷与低温技术原理,52.0,3.0,"赵日晶,钱苏昕,王磊,李翠,张兴群,刘晔,陈旗"
0333,流体机械原理,56.0,3.0,"王志恒,张楚华,林梅"
0334,流体机械原理,56.0,3.0,"琚亚平,林梅,李景银"
0335,流体机械原理,56.0,3.0,"秦国良,李景银,张楚华,林梅"
0336,热力发电厂,58.0,3.0,"种道彤,刘明,王朝阳,王桂芳,徐彤彤"
0337,热力发电厂,58.0,3.0,"吴东垠,韩小渠,王桂芳,徐彤彤"
0338,热力发电厂,58.0,3.0,"刘继平,陈伟雄,王桂芳,徐彤彤"
0339,热力发电厂,58.0,3.0,"赵全斌,王桂芳,王进仕,徐彤彤"
0340,压缩机原理与结构,52.0,3.0,"曹锋,杨旭,王雷雷,张薇,王澈"
0341,压缩机原理与结构,52.0,3.0,"彭学院,郭蓓,宋昱龙,王雷雷"
0342,压缩机原理与结构,52.0,3.0,"冯健美,吴华根,殷翔,王雷雷"
0343,压缩机原理与结构,52.0,3.0,"贾晓晗,何志龙,薛绒,王雷雷,李丹童"
0344,压缩机原理与结构,52.0,3.0,"吴伟烽,邢子文,郭怡,王雷雷"
0345,发动机原理与构造,60.0,3.0,"胡二江,黄勇成,汤成龙"
0346,发动机原理与构造,60.0,3.0,"王金华,刘圣华,魏衍举,李倩倩,黄佐华,杨锐"
0347,锅炉原理,56.0,3.0,"车得福,邓磊,张润霞"
0348,锅炉原理,56.0,3.0,"刘银河,牛艳青,张润霞"
0349,锅炉原理,56.0,3.0,"王长安,车得福,张润霞"
0350,锅炉原理,56.0,3.0,"牛艳青,王长安,张润霞"
0351,锅炉原理,56.0,3.0,"邓磊,刘银河,张润霞"
0352,汽轮机原理,56.0,3.0,"邓清华,刘钊,颜晓江"
0353,汽轮机原理,56.0,3.0,"宋立明,郭振东,颜晓江"
0354,汽轮机原理,56.0,3.0,"晏鑫,李亮,刘观伟"
0355,汽轮机原理,56.0,3.0,"李军,李志刚,刘观伟"
0356,汽车理论及构造,48.0,3.0,"汪映,王锡斌,黄勇成"
0357,汽车理论及构造,48.0,3.0,"魏衍举,王锡斌,黄勇成"
0358,新能源汽车动力与控制,52.0,3.0,"姜雪,杨博,刘兵"
0359,新能源汽车动力与控制,52.0,3.0,"姜雪,杨博,刘兵"
0360,储能热流基础实验,16.0,0.5,"孟婧,邢张梦"
0361,储能热流基础,64.0,4.0,"何雅玲,席奂,李冬"
0362,传热传质学,56.0,3.0,"方文振,陈黎"
0363,热质储能技术及应用实验,16.0,0.5,"孟婧,邢张梦"
0364,热质储能技术及应用,40.0,2.5,"陶于兵,程泽东"
0365,能源科学技术前沿讲座,16.0,1.0,"严俊杰,苏光辉,席光,何雅玲,黄佐华,邢子文,厉彦忠,陶文铨"
0366,大气污染控制工程,64.0,4.0,"何炽,高宁博"
0367,水污染控制工程,64.0,4.0,"王云海,杨树成"
0368,固体废物处理与处置,48.0,3.0,"高宁博,全翠"
0369,环境影响评价,32.0,2.0,刘萍萍
0370,专业综合实验,64.0,2.0,张瑜
0371,污染控制实验,64.0,2.0,"张瑜,张润霞,张锦萍"
0372,环境规划与管理Ⅰ,32.0,2.0,孙健
0373,环境化学Ⅱ,32.0,2.0,"延卫,徐浩"
0374,中华灯谜艺术及欣赏,32.0,2.0,"王美玲,陈雪江"
0375,中华灯谜艺术及欣赏,32.0,2.0,"陈雪江,王美玲"
0376,汽车构造,32.0,2.0,汪映
0377,星际航行与低温技术,32.0,2.0,"马原,谢福寿,王磊"
0378,制冷技术概论：从地面到空间,32.0,2.0,"薛绒,张泽,陈汝刚,刘秀芳"
0379,能源绿色转化与碳减排,32.0,2.0,"杜勇博,邓磊,刘虎,王长安"
0380,学科交叉研究：流体遇上纳米材料,32.0,2.0,"赵昆鹏,李星,孙成珍"
0381,走向富足：通过科技改变人类未来,16.0,1.0,"周致富,李东"
0382,汽车文化与社会发展,32.0,2.0,李倩倩
0383,《唐宋词鉴赏辞典》经典阅读,16.0,1.0,屠珊
0384,项目管理理论与实践,32.0,2.0,郭怡
0385,项目管理理论与实践,32.0,2.0,郭怡
0386,通向绝对零度之路——制冷与低温科技史话,32.0,2.0,陈蕴光
0387,能源工程经济学,32.0,2.0,"刘朝晖,雷贤良"
0388,摄影艺术与实践,32.0,2.0,"李一鸣,陈雪江"
0389,书香致远——阅读的艺术,16.0,1.0,李璐
0390,低碳能源转化技术与工程经济管理,32.0,2.0,"姚尔人,黄柱,席光"
0391,碳中和：国家战略与职业规划,32.0,2.0,"沈振兴,王浥尘,孙健"
0392,通过地理读历史,32.0,2.0,"关祥久,郭坤,蔡文芳,陈庆云"
0393,工程数学建模,40.0,2.0,陈磊
0394,材料科学基础与新能源材料,40.0,2.5,"黄建兵,沈少华,师进文,关祥久"
0395,生物学基础与生物质能转化原理及技术,60.0,3.5,"吕友军,金辉,徐强,赵昆鹏"
0396,流体机械能转化原理与技术,38.0,2.0,"陈斌,周致富,骆政园,李东"
0397,新能源热利用与热发电原理及系统,46.0,2.5,"赵亮,李明涛,赵秋阳"
0398,量子力学,48.0,3.0,赵耀林
0399,核材料基础,32.0,2.0,"恽迪,匡杰,杨健乔"
0400,原子物理,32.0,2.0,赵耀林
0401,核辐射防护,40.0,2.0,"胡华四,胡光,邬良芃"
0402,原子核物理实验方法,48.0,3.0,"张清民,臧航"
0403,电离辐射剂量学,52.0,2.5,"王炫,刘书焕,邬良芃"
0404,核反应堆物理分析,40.0,2.5,"吴宏春,刘宙宇,万承辉"
0405,核反应堆物理分析,40.0,2.5,"曹良志,祖铁军"
0406,核反应堆物理分析,40.0,2.5,"郑友琦,王永平,杜夏楠"
0407,核反应堆物理分析,40.0,2.5,"李云召,贺清明"
0408,核反应堆控制,40.0,2.0,"孙培伟,邬良芃"
0409,核反应堆控制,40.0,2.0,"王鹏飞,邬良芃"
0410,核反应堆控制,40.0,2.0,"吴世发,邬良芃"
0411,核反应堆控制,40.0,2.0,"魏新宇,邬良芃"
0412,核电子学,48.0,2.5,"李培,贺朝会,李永宏"
0413,核电厂系统与动力设备,40.0,2.5,"张魁,田文喜,张斌"
0414,核电厂系统与动力设备,40.0,2.5,"张亚培,陈荣华,张博"
0415,核电厂系统与动力设备,40.0,2.5,"章静,王明军,桂淼"
0416,核电厂系统与动力设备,40.0,2.5,"王成龙,秋穗正,单建强"
0417,核反应堆热工分析,48.0,2.5,"秋穗正,王明军,王成龙,邬良芃,郭凯伦"
0418,核反应堆热工分析,48.0,2.5,"田文喜,陈荣华,张魁,邬良芃,贺亚男"
0419,核反应堆热工分析,48.0,2.5,"张大林,章静,张亚培,郭凯伦,邬良芃"
0420,核反应堆热工分析,48.0,2.5,"苏光辉,巫英伟,章静,邬良芃,贺亚男"
0421,核信息获取与处理,32.0,1.5,"刘书焕,王鹏飞"
0422,材料热力学,32.0,2.0,柳文波
0423,无机化学,48.0,3.0,"林健,邱杰"
0424,核分析技术,32.0,2.0,臧航
0425,电子系统设计与实践,80.0,2.5,雷万钧
0426,电子系统设计与实践,80.0,2.5,刘宁艳
0427,电子系统设计与实践,80.0,2.5,张虹
0428,电子系统设计与实践,80.0,2.5,张璞
0429,基于PBL（Project-Based Learning）的科研训练,224.0,8.0,"宋政湘,胡飞虎,王建学,刘鹏,吕亮,寇鹏"
0430,新能源导论,32.0,2.0,"吴坚,周峻,吴锴"
0431,能源互联网,16.0,1.0,"王锡凡,别朝红,康小宁"
