S#,C#,GRADE
93576249,3145,98
93576249,0223,64
93576249,2247,84
93576249,3242,37
93576249,0162,46
93576249,1031,46
93576249,1541,81
10204128,0958,67
10204128,0349,48
10204128,0740,70
10204128,2918,69
10204128,3459,68
10204128,3265,78
10204128,2254,78
10204128,2349,79
10204128,3435,68
10204128,3542,69
10204128,2175,79
10204128,0876,75
10204128,1898,91
10204128,2088,55
10204128,0808,37
10204128,1715,50
10204128,2223,73
10204128,2492,42
10204128,1874,66
10204128,3443,60
75517851,3007,39
75517851,0263,82
75517851,0195,81
75517851,1653,61
75517851,1733,61
75517851,1232,77
75517851,1162,55
75517851,2949,65
75517851,2984,88
75517851,3387,32
75517851,2052,94
75517851,3372,40
75517851,0653,52
75517851,2014,32
75517851,1891,97
75517851,1086,85
75517851,3630,38
75517851,1674,40
75517851,0895,56
75517851,2132,54
75085311,2231,55
75085311,1559,49
75085311,3122,49
75085311,2124,63
75085311,2145,65
75085311,0899,93
75085311,3184,80
75085311,2566,44
75085311,2466,100
75085311,3012,45
75085311,2393,36
75085311,3159,94
75085311,3267,50
75085311,3543,42
75085311,2479,37
75085311,1225,82
75085311,0191,52
75085311,1258,46
75085311,2793,100
75085311,1880,66
38725366,2852,41
38725366,1940,95
38725366,1531,37
38725366,2662,42
38725366,2780,91
38725366,0739,51
38725366,1213,77
38725366,0289,68
38725366,3596,90
38725366,2505,30
38725366,3051,57
38725366,1092,97
38725366,3459,66
38725366,3326,45
38725366,0638,89
38725366,0035,99
38725366,1803,52
38725366,1017,55
38725366,1148,37
38725366,3467,71
52702252,2734,38
52702252,2541,55
52702252,0891,44
52702252,1097,65
52702252,2358,90
52702252,1598,87
52702252,2076,81
52702252,1234,85
52702252,0390,70
52702252,0646,80
52702252,3381,35
52702252,3139,58
52702252,2538,55
52702252,0779,60
52702252,2645,84
52702252,2952,59
52702252,1141,44
52702252,2865,92
52702252,0519,57
52702252,1996,99
57762640,2461,45
57762640,2061,97
57762640,1537,55
57762640,3489,43
57762640,0711,80
57762640,0717,92
57762640,1220,42
57762640,3242,81
57762640,0869,56
57762640,0551,87
57762640,2071,80
57762640,1609,52
57762640,2292,54
57762640,1671,80
57762640,3396,57
57762640,3667,49
57762640,2596,39
57762640,3229,68
57762640,2159,40
57762640,0223,69
20692422,3447,41
20692422,1665,88
20692422,1023,68
20692422,1998,50
20692422,1552,32
20692422,3423,39
20692422,0267,55
20692422,1072,72
20692422,1281,32
20692422,0869,43
20692422,2384,40
20692422,1632,89
20692422,0458,94
20692422,0619,69
20692422,1714,99
20692422,3069,93
20692422,2724,33
20692422,2306,60
20692422,2712,94
20692422,0209,57
47908588,1968,80
47908588,1538,81
47908588,0160,49
47908588,1612,63
47908588,3175,58
47908588,3477,88
47908588,1682,33
47908588,0581,66
47908588,0414,60
47908588,2928,35
47908588,1298,59
47908588,2233,74
47908588,2268,65
47908588,1601,36
47908588,0792,90
47908588,3489,84
47908588,0017,87
47908588,1582,97
47908588,1404,74
47908588,3393,43
36126152,2961,35
36126152,0676,47
36126152,3284,78
36126152,1943,47
36126152,2410,85
36126152,2716,91
36126152,1412,34
36126152,3547,76
36126152,3380,83
36126152,0086,88
36126152,1698,35
36126152,2581,48
36126152,0656,63
36126152,2063,67
36126152,0917,87
36126152,3274,60
36126152,0266,81
36126152,1053,43
36126152,1274,65
36126152,3040,72
89061445,2374,30
89061445,3484,90
89061445,3361,31
89061445,0424,48
89061445,3357,42
89061445,1429,96
89061445,1910,64
89061445,2112,36
89061445,2698,77
89061445,2524,76
89061445,1148,38
89061445,2793,98
89061445,1739,31
89061445,0871,92
89061445,1698,85
89061445,1059,89
89061445,1309,35
89061445,1520,66
89061445,1189,85
89061445,1227,81
64252382,2524,74
64252382,0674,64
64252382,2683,32
64252382,3345,37
64252382,0069,59
64252382,0235,53
64252382,2223,33
64252382,3255,91
64252382,0539,91
64252382,0990,93
64252382,0912,72
64252382,2789,70
64252382,2951,77
64252382,3666,46
64252382,3103,68
64252382,1415,87
64252382,0896,47
64252382,1366,64
64252382,0270,76
64252382,0831,95
73660296,1737,50
73660296,0586,30
73660296,2897,69
73660296,2041,47
73660296,1074,50
73660296,0525,45
73660296,1846,92
73660296,0814,78
73660296,0226,71
73660296,0981,61
73660296,0931,40
73660296,2765,55
73660296,3070,89
73660296,0251,59
73660296,1555,68
73660296,1055,33
73660296,1631,52
73660296,0613,35
73660296,1817,95
73660296,0502,100
45699932,0923,37
45699932,3523,86
45699932,0727,70
45699932,3478,63
45699932,1669,32
45699932,0892,66
45699932,1848,47
45699932,0216,39
45699932,2877,77
45699932,1882,63
45699932,0805,78
45699932,0359,71
45699932,1075,93
45699932,2004,42
45699932,1948,41
45699932,3497,57
45699932,1039,36
45699932,0056,31
45699932,0064,36
45699932,0411,88
85575112,3568,87
85575112,3451,49
85575112,0941,62
85575112,0336,39
85575112,2317,35
85575112,1044,78
85575112,1060,40
85575112,2940,63
85575112,1399,57
85575112,1282,39
85575112,2742,71
85575112,1838,80
85575112,3544,66
85575112,1907,40
85575112,0406,58
85575112,3395,38
85575112,2596,91
85575112,0860,46
85575112,0681,49
85575112,1099,62
42637261,0273,59
42637261,1031,77
42637261,2318,87
42637261,3002,68
42637261,1121,45
42637261,1939,80
42637261,2949,84
42637261,0422,85
42637261,0346,89
42637261,0382,91
42637261,1553,42
42637261,1319,36
42637261,2481,73
42637261,0123,89
42637261,3552,90
42637261,1012,54
42637261,0434,30
42637261,3429,33
42637261,2378,99
42637261,0910,87
54514615,1545,48
54514615,0099,84
54514615,2435,45
54514615,3137,87
54514615,3656,62
54514615,3010,55
54514615,3087,47
54514615,0696,64
54514615,3101,40
54514615,2761,50
54514615,2208,80
54514615,3350,78
54514615,1603,91
54514615,1547,40
54514615,1191,30
54514615,0364,69
54514615,3346,41
54514615,2707,68
54514615,0106,51
54514615,0063,72
77417077,0965,41
77417077,0425,78
77417077,1754,54
77417077,1548,41
77417077,0374,40
77417077,3351,40
77417077,2278,87
77417077,1023,93
77417077,0361,40
77417077,0938,90
77417077,3235,47
77417077,2211,77
77417077,3522,34
77417077,0230,64
77417077,3130,98
77417077,0147,62
77417077,3633,46
77417077,3492,94
77417077,0266,31
77417077,3013,36
58567733,0147,91
58567733,0328,96
58567733,0148,79
58567733,2585,95
58567733,2763,90
58567733,0553,70
58567733,0429,69
58567733,1391,56
58567733,0728,98
58567733,0498,45
58567733,1420,36
58567733,2150,84
58567733,2837,65
58567733,1075,39
58567733,1987,93
58567733,2624,82
58567733,0261,58
58567733,1921,65
58567733,1094,46
58567733,0047,72
82546415,1562,84
82546415,0493,95
82546415,3152,53
82546415,3144,80
82546415,1224,34
82546415,1586,54
82546415,0285,51
82546415,0267,87
82546415,1999,43
82546415,2261,33
82546415,0589,31
82546415,1579,90
82546415,0622,50
82546415,3002,36
82546415,3509,62
82546415,0081,44
82546415,0350,46
82546415,3507,45
82546415,2529,35
82546415,3053,55
83160161,2756,72
83160161,2279,81
83160161,3076,46
83160161,1623,77
83160161,1378,94
83160161,2128,37
83160161,0556,63
83160161,2581,66
83160161,1047,34
83160161,1058,85
83160161,3656,84
83160161,0871,57
83160161,3315,76
83160161,0531,39
83160161,1783,84
83160161,1185,98
83160161,0676,42
83160161,3585,67
83160161,0130,64
83160161,0321,47
64900341,1129,82
64900341,2704,72
64900341,1920,64
64900341,1849,55
64900341,1875,55
64900341,1525,79
64900341,3353,39
64900341,0683,71
64900341,1275,66
64900341,2562,92
64900341,1566,39
64900341,3484,43
64900341,0700,89
64900341,2814,57
64900341,3495,90
64900341,0819,37
64900341,3001,79
64900341,3649,62
64900341,0401,46
64900341,1852,77
21055450,0131,53
21055450,1810,37
21055450,2399,86
21055450,1558,68
21055450,2791,37
21055450,1080,81
21055450,2948,93
21055450,1248,33
21055450,2081,36
21055450,2395,49
21055450,0818,90
21055450,1659,52
21055450,1436,51
21055450,0775,33
21055450,3364,62
21055450,1122,44
21055450,2160,58
21055450,0209,51
21055450,2707,33
21055450,2119,88
86650640,2254,45
86650640,2290,54
86650640,2982,89
86650640,2822,44
86650640,0151,47
86650640,0958,89
86650640,2145,71
86650640,2472,38
86650640,1585,57
86650640,3292,98
86650640,3047,47
86650640,3151,61
86650640,2092,85
86650640,1406,75
86650640,2972,53
86650640,1388,64
86650640,0726,45
86650640,3444,42
86650640,1825,88
86650640,3017,30
98832031,1873,45
98832031,2583,34
98832031,0616,75
98832031,0450,62
98832031,0572,45
98832031,1667,47
98832031,3401,87
98832031,3359,56
98832031,1394,91
98832031,1157,81
98832031,1432,92
98832031,3606,95
98832031,0536,64
98832031,2919,58
98832031,0132,48
98832031,1106,77
98832031,3684,47
98832031,0206,81
98832031,3293,42
98832031,3180,85
66431887,1739,77
66431887,3282,45
66431887,2263,70
66431887,1674,83
66431887,2836,40
66431887,1926,37
66431887,0890,68
66431887,2586,55
66431887,3652,54
66431887,3545,38
66431887,3054,77
66431887,2311,77
66431887,0361,60
66431887,1684,84
66431887,0445,78
66431887,2944,53
66431887,3241,44
66431887,0072,100
66431887,1394,100
66431887,2316,90
37928718,0757,53
37928718,1694,82
37928718,2372,38
37928718,2613,50
37928718,2713,54
37928718,1971,49
37928718,2752,97
37928718,1194,77
37928718,2916,86
37928718,3127,32
37928718,1265,73
37928718,2459,47
37928718,3490,81
37928718,0782,56
37928718,3434,61
37928718,3517,91
37928718,0243,57
37928718,1530,56
37928718,2722,51
37928718,2020,40
56242223,2879,38
56242223,0226,59
56242223,0065,90
56242223,2703,69
56242223,1370,52
56242223,0585,61
56242223,0485,99
56242223,1726,49
56242223,0093,96
56242223,0218,51
56242223,0829,54
56242223,2335,40
56242223,3172,47
56242223,1246,30
56242223,2456,81
56242223,0283,60
56242223,1803,83
56242223,1207,33
56242223,2978,100
56242223,3169,99
10051417,0604,97
10051417,2591,91
10051417,2880,55
10051417,1309,80
10051417,1530,83
10051417,3666,52
10051417,3190,45
10051417,0341,55
10051417,2197,86
10051417,2850,68
10051417,0064,69
10051417,0468,66
10051417,0119,91
10051417,2941,34
10051417,0697,50
10051417,0040,41
10051417,1130,77
10051417,0217,91
10051417,0328,80
10051417,3234,98
38406806,3497,82
38406806,1818,84
38406806,1520,69
38406806,0052,100
38406806,1737,41
38406806,1293,67
38406806,2734,89
38406806,0280,88
38406806,1710,51
38406806,3412,93
38406806,0676,99
38406806,2726,85
38406806,2894,83
38406806,0356,92
38406806,1709,82
38406806,2561,59
38406806,0116,87
38406806,0308,97
38406806,2045,79
38406806,0281,92
65335523,1055,58
65335523,3176,90
65335523,3401,69
65335523,0057,35
65335523,2547,87
65335523,2080,72
65335523,1467,92
65335523,3573,35
65335523,3148,80
65335523,0085,92
65335523,0539,75
65335523,1913,68
65335523,3458,44
65335523,0074,30
65335523,3560,84
65335523,2503,64
65335523,0612,41
65335523,2101,92
65335523,3001,90
65335523,1438,31
33379839,3401,81
33379839,3641,78
33379839,3265,43
33379839,0135,80
33379839,0281,84
33379839,0699,72
33379839,0349,66
33379839,1203,92
33379839,1846,74
33379839,1732,46
33379839,1719,52
33379839,0166,36
33379839,2884,74
33379839,3504,63
33379839,0099,44
33379839,1458,45
33379839,3529,100
33379839,1310,89
33379839,2625,85
33379839,0146,50
72708789,0486,64
72708789,0506,45
72708789,2120,77
72708789,3486,94
72708789,2220,91
72708789,0003,55
72708789,3384,68
72708789,0207,53
72708789,2520,78
72708789,2998,58
72708789,2564,44
72708789,0801,81
72708789,0870,33
72708789,2482,47
72708789,2304,30
72708789,0901,84
72708789,3234,74
72708789,0523,51
72708789,1067,37
72708789,3684,46
80999431,2901,94
80999431,2438,61
80999431,2790,64
80999431,1872,92
80999431,0240,92
80999431,3337,68
80999431,1551,79
80999431,3642,47
80999431,3309,52
80999431,1809,64
80999431,1082,98
80999431,1644,74
80999431,3323,67
80999431,0934,63
80999431,1132,73
80999431,3507,35
80999431,1519,93
80999431,3670,70
80999431,2538,65
80999431,3589,55
49304138,2797,31
49304138,0923,89
49304138,1914,51
49304138,3683,64
49304138,3053,46
49304138,2282,44
49304138,0070,36
49304138,0709,83
49304138,1434,60
49304138,1893,30
49304138,3184,50
49304138,0847,45
49304138,2159,73
49304138,1734,49
49304138,1939,40
49304138,0376,84
49304138,3522,76
49304138,2312,51
49304138,2062,73
49304138,0839,65
29509464,1131,79
29509464,0311,83
29509464,1271,55
29509464,2967,72
29509464,1266,69
29509464,1422,87
29509464,1875,42
29509464,3062,64
29509464,2506,37
29509464,2038,92
29509464,2398,44
29509464,0690,43
29509464,2929,81
29509464,0117,60
29509464,1236,54
29509464,2167,51
29509464,0304,55
29509464,0164,31
29509464,0528,57
29509464,2953,64
43498422,1567,76
43498422,2298,83
43498422,0670,34
43498422,3256,36
43498422,1650,39
43498422,1618,42
43498422,1750,53
43498422,3531,64
43498422,0069,85
43498422,3662,97
43498422,2097,72
43498422,2098,66
43498422,2153,64
43498422,2415,50
43498422,1499,92
43498422,1185,80
43498422,3521,76
43498422,2603,41
43498422,1745,71
43498422,0031,45
76790430,1630,41
76790430,1649,43
76790430,1247,41
76790430,1501,72
76790430,1529,57
76790430,1681,47
76790430,3622,49
76790430,1073,32
76790430,3400,77
76790430,2279,57
76790430,2180,78
76790430,0251,67
76790430,3030,48
76790430,3451,32
76790430,2858,97
76790430,2524,63
76790430,3584,68
76790430,0176,64
76790430,0498,60
76790430,3175,94
56256650,0378,81
56256650,2088,31
56256650,3243,57
56256650,0938,73
56256650,3193,33
56256650,0931,83
56256650,1711,63
56256650,1936,44
56256650,2599,68
56256650,1302,38
56256650,0478,37
56256650,0221,43
56256650,1283,56
56256650,0419,98
56256650,0294,67
56256650,0930,66
56256650,0610,37
56256650,3302,41
56256650,0180,96
56256650,2650,98
94255057,2158,36
94255057,0499,51
94255057,3581,48
94255057,1843,48
94255057,2720,53
94255057,2302,34
94255057,0801,82
94255057,3664,71
94255057,1407,44
94255057,1501,41
94255057,2122,30
94255057,0598,36
94255057,1006,82
94255057,1956,88
94255057,2100,36
94255057,0740,54
94255057,2279,90
94255057,2444,49
94255057,1148,33
94255057,1332,46
16236915,3086,56
16236915,2241,97
16236915,1492,59
16236915,0457,73
16236915,0660,62
16236915,0259,44
16236915,1427,87
16236915,1289,40
16236915,1454,57
16236915,1261,67
16236915,3389,90
16236915,3634,68
16236915,1829,43
16236915,2705,30
16236915,1689,85
16236915,2948,31
16236915,0450,64
16236915,0677,88
16236915,0394,54
16236915,3384,99
74763956,1769,90
74763956,1584,52
74763956,2271,49
74763956,3402,63
74763956,1884,42
74763956,2509,76
74763956,2434,69
74763956,2762,74
74763956,3273,91
74763956,2446,84
74763956,1199,79
74763956,1605,86
74763956,0347,90
74763956,2489,32
74763956,1681,46
74763956,2800,61
74763956,2435,33
74763956,2882,57
74763956,1660,81
74763956,3318,39
88630899,3063,53
88630899,3510,81
88630899,2412,35
88630899,3642,60
88630899,1438,93
88630899,1596,67
88630899,1636,51
88630899,1341,78
88630899,1907,76
88630899,1180,41
88630899,3138,98
88630899,0873,98
88630899,0307,77
88630899,2635,51
88630899,2949,83
88630899,1304,61
88630899,1306,91
88630899,2559,59
88630899,0709,64
88630899,2669,50
19143422,0684,84
19143422,1407,66
19143422,1956,36
19143422,1931,40
19143422,1580,31
19143422,1981,88
19143422,1662,42
19143422,1451,58
19143422,0651,93
19143422,0067,42
19143422,2442,77
19143422,1646,98
19143422,2324,56
19143422,2435,99
19143422,1363,35
19143422,1741,80
19143422,2895,52
19143422,1496,37
19143422,2509,63
19143422,1585,50
28723463,1708,82
28723463,2061,73
28723463,3055,38
28723463,2759,57
28723463,2080,43
28723463,1908,76
28723463,1696,34
28723463,0750,76
28723463,1835,87
28723463,3347,65
28723463,1394,32
28723463,1460,39
28723463,2536,60
28723463,1749,66
28723463,1510,51
28723463,3646,94
28723463,0401,33
28723463,1242,39
28723463,1280,59
28723463,0984,94
24377515,0249,82
24377515,1701,44
24377515,0433,47
24377515,3016,36
24377515,2899,54
24377515,1065,73
24377515,1326,69
24377515,2575,54
24377515,0236,43
24377515,3407,67
24377515,0152,93
24377515,0772,91
24377515,2563,38
24377515,2901,68
24377515,3179,96
24377515,2774,45
24377515,0704,40
24377515,1955,62
24377515,2579,56
24377515,2497,44
67388501,1545,52
67388501,1869,45
67388501,1212,73
67388501,1676,81
67388501,3499,85
67388501,1028,57
67388501,0196,61
67388501,3063,51
67388501,2580,94
67388501,1855,55
67388501,1219,79
67388501,2196,80
67388501,2283,83
67388501,2008,77
67388501,1552,72
67388501,2553,87
67388501,2989,30
67388501,3657,51
67388501,2671,85
67388501,2874,36
73349559,3651,44
73349559,1790,66
73349559,0367,43
73349559,1101,92
73349559,1982,53
73349559,1326,55
73349559,3411,33
73349559,2080,81
73349559,1793,60
73349559,0341,30
73349559,2892,97
73349559,0669,69
73349559,0113,58
73349559,1249,95
73349559,2734,55
73349559,2638,85
73349559,2893,74
73349559,2303,83
73349559,3634,81
73349559,0252,98
15863028,0096,62
15863028,2652,66
15863028,1985,69
15863028,1554,69
15863028,1096,83
15863028,2102,95
15863028,1767,95
15863028,0343,35
15863028,3067,32
15863028,0344,100
15863028,0659,41
15863028,2383,86
15863028,2459,84
15863028,1058,71
15863028,2917,87
15863028,3426,52
15863028,2167,53
15863028,2796,64
15863028,1850,76
15863028,1986,80
47317629,1644,43
47317629,0734,96
47317629,2764,99
47317629,0519,44
47317629,0175,31
47317629,2245,64
47317629,1886,64
47317629,1919,87
47317629,2172,47
47317629,1476,48
47317629,1678,90
47317629,3523,68
47317629,0022,78
47317629,1179,41
47317629,1342,65
47317629,3614,58
47317629,2055,36
47317629,2782,40
47317629,3255,34
47317629,3440,94
30695217,3387,100
30695217,2003,88
30695217,2024,55
30695217,2835,84
30695217,2907,40
30695217,1537,74
30695217,1860,81
30695217,1657,100
30695217,1410,65
30695217,0356,76
30695217,2117,32
30695217,3641,92
30695217,0338,39
30695217,0738,54
30695217,0423,66
30695217,0442,77
30695217,1477,55
30695217,2386,58
30695217,0795,61
30695217,2566,80
50307751,2981,39
50307751,0605,74
50307751,2713,94
50307751,0656,44
50307751,2701,87
50307751,0688,96
50307751,3621,40
50307751,0566,98
50307751,0977,55
50307751,1582,49
50307751,2772,76
50307751,2397,46
50307751,2267,58
50307751,0931,94
50307751,1974,59
50307751,3411,97
50307751,0801,65
50307751,2642,67
50307751,3508,69
50307751,0743,78
71708320,0192,41
71708320,3147,38
71708320,1948,69
71708320,2227,40
71708320,1933,51
71708320,1883,55
71708320,3186,42
71708320,0586,99
71708320,2009,53
71708320,0189,70
71708320,2978,80
71708320,3233,83
71708320,2821,40
71708320,0599,56
71708320,2831,55
71708320,0150,42
71708320,3302,72
71708320,2089,67
71708320,3570,75
71708320,2099,78
52615952,3683,42
52615952,2632,43
52615952,3504,62
52615952,0555,88
52615952,1451,41
52615952,0841,58
52615952,2416,53
52615952,2833,67
52615952,0178,85
52615952,3404,67
52615952,0867,37
52615952,2381,83
52615952,1623,41
52615952,1312,61
52615952,0193,78
52615952,2880,92
52615952,1660,96
52615952,3146,49
52615952,1438,98
52615952,2879,47
87456971,1787,40
87456971,1930,40
87456971,2348,91
87456971,0588,32
87456971,0040,92
87456971,1931,82
87456971,1313,74
87456971,0445,69
87456971,2564,48
87456971,3672,34
87456971,1201,50
87456971,1358,69
87456971,2495,81
87456971,1076,51
87456971,2533,76
87456971,2568,91
87456971,0829,56
87456971,2891,33
87456971,1677,84
87456971,0025,36
46896494,3264,92
46896494,0878,70
46896494,0369,61
46896494,2710,77
46896494,2744,72
46896494,0541,76
46896494,2504,91
46896494,0000,46
46896494,2794,92
46896494,2757,86
46896494,3677,89
46896494,0685,60
46896494,3245,55
46896494,0447,37
46896494,0275,91
46896494,1220,97
46896494,2246,70
46896494,1320,60
46896494,3229,31
46896494,2310,74
92831475,1008,88
92831475,2187,42
92831475,3474,87
92831475,1751,72
92831475,2807,50
92831475,1145,72
92831475,1859,35
92831475,2863,41
92831475,2089,44
92831475,1523,47
92831475,2738,82
92831475,1912,68
92831475,2827,70
92831475,0864,74
92831475,0419,70
92831475,1207,42
92831475,3040,86
92831475,0397,79
92831475,0549,38
92831475,2689,58
89334043,1494,77
89334043,1141,66
89334043,3493,60
89334043,0290,63
89334043,0747,83
89334043,1973,44
89334043,3081,54
89334043,1657,42
89334043,3276,36
89334043,2712,82
89334043,3447,56
89334043,0864,91
89334043,2074,83
89334043,3205,59
89334043,0761,46
89334043,2552,56
89334043,0908,37
89334043,1638,39
89334043,2287,72
89334043,2275,34
60555451,2630,38
60555451,1475,92
60555451,1563,84
60555451,0034,58
60555451,0085,70
60555451,3283,61
60555451,2859,75
60555451,2147,41
60555451,0318,96
60555451,0965,80
60555451,2149,91
60555451,2477,59
60555451,0424,38
60555451,0040,34
60555451,0988,45
60555451,2423,37
60555451,2272,97
60555451,0151,81
60555451,1384,54
60555451,0313,42
53293242,0216,75
53293242,2714,63
53293242,0605,75
53293242,0730,38
53293242,3657,72
53293242,2838,98
53293242,3344,92
53293242,0297,44
53293242,3050,74
53293242,3091,65
53293242,1747,60
53293242,2652,87
53293242,1992,49
53293242,0190,56
53293242,1908,97
53293242,3614,30
53293242,0395,69
53293242,2395,91
53293242,0858,38
53293242,1482,48
88082160,2602,38
88082160,3184,96
88082160,2470,86
88082160,2219,77
88082160,0697,40
88082160,3307,69
88082160,2438,34
88082160,2352,50
88082160,0696,93
88082160,0610,71
88082160,0125,79
88082160,1090,75
88082160,3663,63
88082160,1988,62
88082160,1332,34
88082160,1634,94
88082160,1981,71
88082160,1407,52
88082160,3170,66
88082160,3410,31
59932890,1465,88
59932890,3393,34
59932890,0799,77
59932890,1188,57
59932890,1624,38
59932890,1067,77
59932890,2944,61
59932890,1681,58
59932890,3257,53
59932890,1850,58
59932890,0474,83
59932890,2095,69
59932890,2795,86
59932890,0255,62
59932890,2486,55
59932890,2424,80
59932890,0229,94
59932890,3312,55
59932890,1919,35
59932890,1442,32
13399637,3404,32
13399637,1313,81
13399637,0194,58
13399637,3431,61
13399637,2285,51
13399637,1444,72
13399637,1540,73
13399637,1676,37
13399637,3265,86
13399637,0270,42
13399637,1421,39
13399637,1802,79
13399637,0605,93
13399637,2660,34
13399637,0574,35
13399637,0017,31
13399637,3570,63
13399637,1469,77
13399637,3464,49
13399637,0486,69
64749255,1940,86
64749255,2308,33
64749255,0737,74
64749255,0350,74
64749255,3365,35
64749255,2957,74
64749255,1187,81
64749255,3684,82
64749255,3340,94
64749255,1610,57
64749255,2550,98
64749255,2853,64
64749255,3516,51
64749255,2834,87
64749255,1079,51
64749255,1081,51
64749255,2546,57
64749255,3643,96
64749255,2394,60
64749255,2366,92
46965473,0233,57
46965473,0619,93
46965473,2856,57
46965473,2134,59
46965473,0687,52
46965473,1353,82
46965473,1869,78
46965473,2751,58
46965473,2093,30
46965473,3480,59
46965473,3079,76
46965473,2192,64
46965473,0451,50
46965473,3038,83
46965473,3060,87
46965473,0454,75
46965473,0268,73
46965473,1195,51
46965473,2789,50
46965473,0406,47
82445129,3602,92
82445129,3078,100
82445129,1545,63
82445129,0872,31
82445129,1116,49
82445129,0086,58
82445129,3301,37
82445129,1972,33
82445129,0721,63
82445129,1457,32
82445129,0354,93
82445129,3228,89
82445129,2362,85
82445129,2475,75
82445129,1770,57
82445129,0492,30
82445129,2058,85
82445129,1121,39
82445129,2109,53
82445129,1295,45
42291629,1289,68
42291629,1262,44
42291629,1295,93
42291629,0939,73
42291629,2799,77
42291629,1073,66
42291629,2019,55
42291629,0035,68
42291629,3238,85
42291629,2649,88
42291629,0918,37
42291629,1925,32
42291629,2622,79
42291629,0979,35
42291629,2954,33
42291629,0910,32
42291629,2803,42
42291629,1006,92
42291629,3467,56
42291629,2817,100
95250881,1195,90
95250881,2511,93
95250881,1061,54
95250881,1870,67
95250881,3597,74
95250881,2109,59
95250881,1205,72
95250881,1127,30
95250881,1587,41
95250881,2499,45
95250881,2525,82
95250881,0947,31
95250881,2317,94
95250881,1399,92
95250881,0673,93
95250881,3325,52
95250881,2981,47
95250881,3185,52
95250881,1369,50
95250881,1941,73
19838407,3307,72
19838407,2814,30
19838407,0636,51
19838407,1977,81
19838407,3663,44
19838407,1991,94
19838407,3223,91
19838407,3599,64
19838407,3371,32
19838407,2830,53
19838407,0081,55
19838407,1641,68
19838407,1232,98
19838407,2276,82
19838407,3335,78
19838407,3039,69
19838407,3137,80
19838407,2875,86
19838407,1034,79
19838407,2634,90
94148595,2431,57
94148595,1885,58
94148595,3046,36
94148595,0798,95
94148595,1339,95
94148595,2748,99
94148595,1194,81
94148595,0168,90
94148595,1846,44
94148595,2397,58
94148595,1140,76
94148595,3567,31
94148595,0839,70
94148595,3237,41
94148595,0219,89
94148595,0711,78
94148595,0954,36
94148595,0153,32
94148595,0864,71
94148595,1304,42
76258671,1505,57
76258671,2382,85
76258671,0156,65
76258671,3567,97
76258671,1886,63
76258671,2077,41
76258671,1777,62
76258671,0566,71
76258671,3052,86
76258671,1001,89
76258671,0334,67
76258671,1792,60
76258671,1355,39
76258671,1846,45
76258671,0904,90
76258671,3553,34
76258671,2017,58
76258671,2019,78
76258671,2702,89
76258671,2111,73
57841172,3345,99
57841172,0886,89
57841172,1562,39
57841172,2697,70
57841172,1679,77
57841172,2599,100
57841172,3527,56
57841172,3192,68
57841172,0715,92
57841172,1186,72
57841172,3430,100
57841172,1167,35
57841172,1393,48
